date,id,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals,victory,defeat,egality
1948-12-02,,England,Switzerland,6,0,Friendly,London,England,FALSE,822,0,0,0
1948-12-05,,Republic of Ireland,Switzerland,0,1,Friendly,Dublin,Éire,FALSE,823,0,0,0
1949-04-03,,Switzerland,Austria,1,2,International Cup,Lausanne,Switzerland,FALSE,826,0,0,0
1949-05-26,,Switzerland,Wales,4,0,Friendly,Berne,Switzerland,FALSE,830,0,0,0
1949-06-04,,France,Switzerland,4,2,Friendly,Colombes,France,FALSE,836,0,0,0
1949-06-26,,Switzerland,Luxembourg,5,2,FIFA World Cup qualification,Zürich,Switzerland,FALSE,843,0,0,0
1949-09-18,,Luxembourg,Switzerland,2,3,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE,848,0,0,0
1949-10-02,,Belgium,Switzerland,3,0,Friendly,Brussels,Belgium,FALSE,851,0,0,0
1950-03-19,,Austria,Switzerland,3,3,International Cup,Vienna,Austria,FALSE,857,0,0,0
1950-04-26,,Scotland,Switzerland,3,1,Friendly,Glasgow,Scotland,FALSE,861,0,0,0
1950-06-11,,Switzerland,Yugoslavia,0,4,Friendly,Berne,Switzerland,FALSE,865,0,0,0
1950-06-25,,Switzerland,Yugoslavia,0,3,FIFA World Cup,Belo Horizonte,Brazil,TRUE,868,0,0,0
1950-06-28,,Brazil,Switzerland,2,2,FIFA World Cup,São Paulo,Brazil,FALSE,872,0,0,0
1950-07-02,,Mexico,Switzerland,1,2,FIFA World Cup,Porto Alegre,Brazil,TRUE,875,0,0,0
1950-10-15,,Switzerland,Netherlands,7,5,Friendly,Basel,Switzerland,FALSE,887,0,0,0
1950-11-12,,Switzerland,Sweden,4,2,Friendly,Geneva,Switzerland,FALSE,893,0,0,0
1950-11-22,,Germany,Switzerland,1,0,Friendly,Stuttgart,Germany,FALSE,894,0,0,0
1951-02-18,,Spain,Switzerland,6,3,Friendly,Madrid,Spain,FALSE,903,0,0,0
1951-04-15,,Switzerland,Germany,2,3,Friendly,Zürich,Switzerland,FALSE,908,0,0,0
1951-05-16,,Wales,Switzerland,3,2,Friendly,Wrexham,Wales,FALSE,913,0,0,0
1951-06-24,,Yugoslavia,Switzerland,7,3,Friendly,Belgrade,Yugoslavia,FALSE,923,0,0,0
1951-10-14,,Switzerland,France,1,2,Friendly,Geneva,Switzerland,FALSE,926,0,0,0
1951-11-25,,Switzerland,Italy,1,1,International Cup,Lugano,Switzerland,FALSE,928,0,0,0
1952-05-28,,Switzerland,England,0,3,Friendly,Zürich,Switzerland,FALSE,931,0,0,0
1952-06-01,,Turkey,Switzerland,1,5,Friendly,Ankara,Turkey,FALSE,937,0,0,0
